"Age","Sleep","Lung_capacity","Distance_walked","Distance_walked_error","Favourite_subject","Studying_per_week","Driving_licence","Daily_miles_driven"
24,7.17,79.67,0.26,0.66,"Chemistry",14,"No","NA"
22,7.12,71.28,0.48,0.56,"Maths",15.2,"No","NA"
22,7.07,87.51,0.64,0.34,"Biology",14.5,"Yes",20.6
18,7.04,73.65,0.09,1.13,"Chemistry",15.7,"No","NA"
35,7.87,68.83,1.93,0.95,"Music",14.3,"Yes",21.3
18,7.73,86.95,1.07,0.28,"Psychology",17,"Yes",23.5
24,6.76,78.56,1.05,1.01,"Maths",12.3,"Yes",18.5
22,7.01,97.18,0.38,1,"Psychology",15.5,"Yes",19.4
21,6.41,81.48,0.69,1.06,"Music",15.8,"No","NA"
34,7.31,78.35,0.76,0.47,"Biology",14.4,"No","NA"
23,6.91,82.29,2.5,0.29,"Biology",14.5,"Yes",25.2
22,7.37,85.55,1.1,0.33,"Chemistry",16.5,"No","NA"
18,7.49,86.74,1.04,0.6,"Maths",17.4,"Yes",23.1
27,6.98,66.56,0.2,0.46,"Psychology",17.3,"No","NA"
19,6.39,96.87,0.2,0.2,"Chemistry",17,"No","NA"
18,6.99,84.8,2.08,0.7,"Psychology",16.1,"No","NA"
22,6.38,73.74,0.41,0.91,"Music",12.8,"Yes",21.8
21,6.87,81.27,1.15,0.53,"Psychology",17.2,"No","NA"
29,6.86,92.23,1.6,0.96,"Maths",13.8,"Yes",15.5
21,7.09,87.12,0.13,0.54,"Maths",16.8,"No","NA"
20,7.25,86.53,1.37,0.49,"Chemistry",19.6,"Yes",17.3
24,7.04,79,2.41,0.47,"Music",15.6,"Yes",22.8
20,6.44,81.14,0.84,0.89,"Psychology",17.2,"No","NA"
19,7.06,76.82,0.62,0.31,"Biology",12.9,"No","NA"
25,6.63,73.69,1.17,0.61,"Maths",16.9,"No","NA"
31,6.59,85.38,0.32,0.85,"Music",15.5,"Yes",20.5
19,7.46,77.38,0.84,0.73,"Maths",19.1,"No","NA"
26,7.1,81.4,5.24,1.19,"Chemistry",16.5,"No","NA"
18,7.09,64.22,1.99,0.47,"Psychology",16.5,"No","NA"
23,7.23,76.21,1.07,0.23,"Maths",19.1,"Yes",17.9
36,7.23,77.33,0.73,0.56,"Psychology",10,"No","NA"
20,7.04,89.2,1.75,1,"Maths",15.4,"No","NA"
18,6.68,59.51,0.07,0.24,"Music",16,"Yes",25.5
19,7.16,98.43,0.32,0.57,"Chemistry",14.9,"Yes",20.3
22,7.17,89.29,0.96,1.17,"Music",14.3,"No","NA"
21,6.52,92.74,0.51,0.53,"Chemistry",15.9,"No","NA"
23,6.47,76.6,0.18,0.83,"Music",15.7,"Yes",20
22,6.14,93.42,0.26,1.01,"Chemistry",12.6,"No","NA"
31,7.26,88.79,2.93,0.21,"Maths",15.4,"Yes",21.1
21,7.23,72.54,1.07,1.14,"Psychology",14.9,"Yes",18.5
27,6.31,94.1,0.65,0.77,"Chemistry",15.7,"Yes",20.7
24,7.36,77.02,0.58,0.21,"Music",16.6,"No","NA"
18,6.77,74.73,1.02,0.53,"Psychology",12,"Yes",17.3
19,6.39,88.66,0.42,0.77,"Maths",16.4,"No","NA"
18,7.18,81.17,0.61,0.97,"Maths",14.1,"No","NA"
18,6,81.06,7.4,0.86,"Chemistry",14,"No","NA"
18,7.35,87.88,0.95,0.4,"Biology",14.6,"Yes",16.6
19,6.69,83.5,1.13,0.25,"Music",15.6,"Yes",20.7
21,7.15,73.63,2.83,0.38,"Chemistry",12.7,"Yes",22.9
27,7.13,86.04,0.87,0.26,"Maths",17.4,"Yes",21.6
20,7.36,83.3,1.9,1.12,"Psychology",12.9,"Yes",18.4
24,7.12,82.92,1.16,0.61,"Music",10.9,"No","NA"
20,6.93,70.75,1.25,0.5,"Music",13.5,"No","NA"
26,7.23,77.15,0.41,0.62,"Chemistry",14.8,"Yes",19.7
