"wall_latitude","land_type","nearest_wall","species_count","total_area","pollution"
57.9258,"Public",0.1,5,0.27,"No"
55.6924,"Private",0.2,3,0.37,"No"
58.0707,"Public",0.1,2,0.3,"No"
56.608,"Public",0,5,0.5,"No"
55.6896,"Public",0,3,0.48,"No"
57.7587,"Private",0.7,1,0.54,"No"
56.8975,"Private",0.4,4,0.38,"Yes"
57.4495,"Public",0.1,0,0.43,"No"
57.7822,"Public",0.3,3,0.37,"No"
58.4898,"Private",0,2,0.33,"No"
55.2919,"Public",0.1,6,0.43,"No"
58.0155,"Public",0,4,0.4,"No"
57.0997,"Public",0.2,3,0.21,"Yes"
58.3804,"Private",0,4,0.32,"Yes"
57.01,"Private",0.1,2,0.54,"Yes"
58.2314,"Private",0.1,7,0.44,"No"
57.2877,"Public",0.1,3,0.4,"No"
57.023,"Public",0,1,0.43,"Yes"
58.1003,"Private",0,2,0.31,"No"
58.5509,"Public",0.1,5,0.16,"No"
55.8375,"Public",0.1,3,0.55,"No"
57.7153,"Private",0.3,2,0.37,"No"
56.5333,"Public",0.1,3,0.28,"No"
58.2861,"Private",0.1,1,0.43,"No"
56.4963,"Public",0.3,3,0.53,"No"
57.7238,"Public",0,3,0.39,"No"
57.6293,"Private",0.1,5,0.39,"No"
55.2581,"Public",0,5,0.51,"No"
57.6806,"Public",0.1,7,0.44,"No"
55.306,"Public",0.3,3,0.31,"No"
57.1939,"Public",0.1,5,0.41,"No"
57.4066,"Private",0.1,4,0.39,"Yes"
56.7281,"Public",0,9,0.44,"No"
57.3714,"Private",0,3,0.63,"No"
55.846,"Public",0.1,3,0.45,"No"
55.1144,"Private",0,4,0.44,"No"
58.5752,"Public",0.1,2,0.4,"No"
57.8019,"Public",0,5,0.36,"No"
56.6832,"Public",0.2,1,0.4,"No"
55.2547,"Public",0.1,2,0.46,"No"
58.4254,"Public",0.1,2,0.16,"No"
57.1788,"Public",0,1,0.29,"Yes"
56.2916,"Public",0.3,2,0.55,"No"
56.2749,"Public",0,2,0.24,"No"
56.1395,"Public",0,3,0.37,"No"
56.4285,"Public",0.3,3,0.48,"No"
57.7497,"Private",0.1,3,0.45,"No"
58.3372,"Private",0,3,0.29,"No"
56.9009,"Public",0,4,0.37,"No"
57.9233,"Public",0.2,0,0.47,"No"
55.529,"Public",0.2,1,0.39,"Yes"
57.0614,"Public",0.1,2,0.45,"Yes"
58.5345,"Public",0,5,0.5,"No"
58.3713,"Public",0.1,3,0.3,"No"
55.4789,"Public",0.1,3,0.36,"No"
55.7853,"Private",0,5,0.54,"No"
56.4863,"Public",0.2,3,0.48,"No"
57.2499,"Public",0.1,3,0.45,"No"
56.0863,"Private",0.1,2,0.27,"No"
57.4508,"Private",0.2,3,0.37,"No"
57.2677,"Public",0.1,4,0.41,"No"
56.2937,"Private",0.1,6,0.4,"No"
57.7525,"Private",0.1,2,0.71,"No"
55.3573,"Public",0.1,0,0.34,"No"
56.0107,"Public",0.1,3,0.2,"No"
58.4248,"Private",0.2,3,0.47,"No"
55.1651,"Private",0.1,1,0.35,"No"
58.1528,"Public",0.2,2,0.55,"No"
55.5452,"Public",0,6,0.51,"Yes"
57.8954,"Private",0.5,6,0.32,"No"
57.1676,"Private",0.1,0,0.48,"No"
